scope,question_type,setting,num_docs,accuracy,avg_correct_option_mean_token_logit_delta,avg_wrong_option_mean_token_logit_delta
overall,all,baseline,30,0.36666666666666664,,
overall,all,two_d_feature_vcd,30,0.4,,
overall,all,weak_fusion_vcd,30,0.4666666666666667,,
overall,all,spatial_noise_vcd,30,0.36666666666666664,,
per_question_type,object_rel_direction_easy,baseline,5,0.6,0.0,0.0
per_question_type,object_rel_direction_easy,two_d_feature_vcd,5,0.6,0.04887695312500001,0.06656901041666667
per_question_type,object_rel_direction_easy,weak_fusion_vcd,5,0.6,-0.3211588541666667,-0.15929361979166662
per_question_type,object_rel_direction_easy,spatial_noise_vcd,5,0.6,0.002347819010416665,0.014420572916666666
per_question_type,object_rel_direction_medium,baseline,5,0.4,0.0,0.0
per_question_type,object_rel_direction_medium,two_d_feature_vcd,5,0.4,0.18477783203125,0.13752034505208333
per_question_type,object_rel_direction_medium,weak_fusion_vcd,5,0.6,0.08136698404947916,0.12857767740885423
per_question_type,object_rel_direction_medium,spatial_noise_vcd,5,0.4,-0.02327067057291667,-0.02810465494791666
per_question_type,object_rel_direction_hard,baseline,5,0.4,0.0,0.0
per_question_type,object_rel_direction_hard,two_d_feature_vcd,5,0.6,0.036865234375,-0.08871739705403646
per_question_type,object_rel_direction_hard,weak_fusion_vcd,5,0.4,-0.3771728515625,-0.41328125
per_question_type,object_rel_direction_hard,spatial_noise_vcd,5,0.4,0.0029541015625,0.01207275390625
per_question_type,object_rel_distance,baseline,5,0.2,0.0,0.0
per_question_type,object_rel_distance,two_d_feature_vcd,5,0.2,0.15081380208333334,0.19574161105685764
per_question_type,object_rel_distance,weak_fusion_vcd,5,0.4,-0.7092936197916666,-0.4057632446289063
per_question_type,object_rel_distance,spatial_noise_vcd,5,0.2,-0.013850911458333334,-0.004336378309461805
per_question_type,route_planning,baseline,5,0.2,0.0,0.0
per_question_type,route_planning,two_d_feature_vcd,5,0.2,0.22214769635881698,0.3344573974609375
per_question_type,route_planning,weak_fusion_vcd,5,0.2,-0.43549761090959815,-0.34731165568033845
per_question_type,route_planning,spatial_noise_vcd,5,0.2,-0.009980555943080357,-0.0025867280505952376
per_question_type,obj_appearance_order,baseline,5,0.4,0.0,0.0
per_question_type,obj_appearance_order,two_d_feature_vcd,5,0.4,-0.3441476779513889,-0.2053952365451389
per_question_type,obj_appearance_order,weak_fusion_vcd,5,0.6,-0.0019213528103298571,-0.10801871970847801
per_question_type,obj_appearance_order,spatial_noise_vcd,5,0.4,0.005089518229166668,-0.0009686957465277772
